Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion,"The EBITDA for Ooredoo in H1 2024 was QAR 5.1 billion, reflecting an increase of 6% (normalized up by 8%). My final answer is QAR 5.1 billion."
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion,"The net profit attributable to Ooredoo shareholders for H1 2024 was QAR 1,861 million on a normalized basis and QAR 1,871 million reported. My final answer is 1,871 million QAR."
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp,Ooredoo's EBITDA margin increased by 6 percentage points (pp) in H1 2024 compared to H1 2023. My final answer is 6%.
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion,"Ooredoo's free cash flow for H1 2024 was QAR 4.1 billion, which represents a growth of 4% (normalized for certain factors). My final answer is QAR 4.1 billion."
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia","The countries with the highest revenue growth in H1 2024 were:

1. Iraq - 19%
2. Algeria - 14%
3. Kuwait - 8%
4. Myanmar - 8%
5. Tunisia - 6%

My final answer is Iraq, Algeria, Kuwait, Myanmar, and Tunisia."
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA,"Ooredoo secured a pioneering deal in the MENA region to deploy NVIDIA’s advanced AI technology across its data centres. This partnership is aligned with Ooredoo's strategy to become the leading digital infrastructure provider in the region and includes a collaboration in key MENA markets such as Qatar, Algeria, Tunisia, Oman, Kuwait, and the Maldives.

My final answer is Ooredoo secured a partnership with NVIDIA."
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year,The overall economic impact of GenAI in the GCC could reach $23.5 billion per year by 2030. My final answer is $23.5 billion.
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion,"Apologies, but I do not have enough information. Please ask another query."
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%,"The revenue contribution of Qatar to Ooredoo in H1 2024 was impacted by a decrease of 5% Year-on-Year (YoY), influenced by the absence of FIFA 2022 contracts and revenue from data center carve-out projects. Specifically, in H1 2024, Qatar's revenue was described as being 1% below the prior year when normalizing for these factors. 

My final answer is Apologies, but I do not have enough information. Please ask another query."
