Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion,"Ooredoo's EBITDA for H1 2024 was QAR 5.1 billion, which represents a 6% increase. My final answer is QAR 5.1 billion."
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion,"Apologies, but I do not have enough information. Please ask another query."
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp,The EBITDA margin of Ooredoo increased by 6 percentage points (pp) year-on-year to a healthy 41% in H1 2024. My final answer is 6pp.
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia","The countries that had the highest revenue growth in H1 2024 are Iraq, Algeria, Kuwait, Maldives, and Tunisia, with robust revenue growth in these regions. My final answer is Iraq, Algeria, Kuwait, Maldives, Tunisia."
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA,"Ooredoo secured a pioneering deal to deploy NVIDIA’s advanced AI technology across its data centres, marking a significant partnership in the MENA region. This collaboration aligns with Ooredoo's strategy of becoming the leading digital infrastructure provider and involves developing an AI-ready platform powered by NVIDIA’s full stack.  

My final answer is Ooredoo secured a pioneering deal to deploy NVIDIA’s advanced AI technology across its data centres."
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year,The overall economic impact of GenAI could reach $23.5 billion per year by 2030 in the GCC area. My final answer is $23.5 billion.
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion,The expected investment in AI and cloud services by Ooredoo is approximately USD 1 billion over the medium to long term. My final answer is 1 billion USD.
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%,"Apologies, but I do not have enough information. Please ask another query."
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion,"Apologies, but I do not have enough information. Please ask another query."
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%),"Ooredoo's net profit for H1 2024 reported a growth of 14% compared to H1 2023, reaching QAR 1.871 billion. The normalized net profit was QAR 1.861 billion. 

My final answer is 14%."
Which region's revenue was impacted due to war in H1 2024?,Palestine,The region whose revenue was impacted due to war in H1 2024 is Palestine. My final answer is Palestine.
What percentage of Ooredoo's customers were in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%),"Apologies, but I do not have enough information. Please ask another query."
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by H1 2024 are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which company is Ooredoo collaborating with for AI technology?,NVIDIA,Ooredoo is collaborating with NVIDIA to deploy advanced AI technology across its data centres. My final answer is NVIDIA.
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's dividend yield in 2023?,5.24%,"Ooredoo's dividend yield in 2023 was 4.77%, based on the dividend paid of QR 0.43 with an ex-dividend date of 8 March 2023. My final answer is 4.77%."
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion,The expected total Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million,The customer base excluding Myanmar increased by 1.9 million to 49.7 million in H1 2024. My final answer is 49.7 million.
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's customer churn rate in Qatar?,6%,"Apologies, but I do not have enough information. Please ask another query."
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%,"Kuwait's EBITDA decreased by 15% year-over-year in local currency (LC), which was impacted by a one-off bad debt provision recorded in 2024. My final answer is 15%."
What was the EBITDA margin for Tunisia in H1 2024?,41%,"The EBITDA margin for Tunisia in H1 2024 was 41%, which represents an improvement of 6 percentage points year-over-year. 

My final answer is 41%."
Which country had the highest data volume growth in H1 2024?,Iraq (+60.09%),"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for Kuwait in H1 2024?,QAR 406 million,"Apologies, but I do not have enough information. Please ask another query."
How did Myanmar's exit impact Ooredoo's H1 2024 financials?,One-time gain of QAR 118 million,"The disposal of Ooredoo Myanmar operation was completed on 31 May 2024, and Ooredoo Group financial results for H1 2024 include the results from Ooredoo Myanmar up until that date. The impact on H1 2024 financials included a normalized net profit increase of 14%, reaching QAR 1.9 billion, and group EBITDA rose to QAR 5.1 billion, which is up by 6%. The company also noted operational growth and cost discipline contributing to this performance. 

My final answer is Ooredoo's exit from Myanmar positively influenced its H1 2024 financials, with a 14% increase in normalized net profit and a 6% rise in EBITDA."
Which Ooredoo market had the highest EBITDA margin?,Maldives (54%),"Based on the retrieved information, the Ooredoo market with the highest EBITDA margin is Algeria, with an EBITDA margin of 47%. 

My final answer is 47%."
How much did Ooredoo invest in network expansion in Iraq?,QAR 1.2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries showed the highest EBITDA growth in H1 2024?,Iraq and Algeria,"The countries that showed the highest EBITDA growth in H1 2024 are:

1. **Myanmar**: 43%
2. **Palestine**: 1%

My final answer is Myanmar and Palestine."
What percentage of Ooredoo’s revenue came from mobile services in Qatar?,30%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in H1 2024?,Iraq (+18%),"The country that had the highest revenue growth in H1 2024 is Iraq, with a growth rate of 18%. 

My final answer is Iraq."
What was the free cash flow of Ooredoo in Q2 2024?,QAR 1.9 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo’s total revenue for 9M 2024?,QAR 17.7 billion,Ooredoo’s total revenue for 9M 2024 was QAR 17.7 billion. My final answer is QAR 17.7 billion.
What was Ooredoo's net profit in 9M 2024?,QAR 2.9 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's free cash flow in 9M 2024?,QAR 5.8 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for 9M 2024?,QAR 7.7 billion,"Apologies, but I do not have enough information. Please ask another query."
What was the EBITDA margin for 9M 2024?,44%,"The EBITDA margin for 9M 2024 was reported as 53%, which reflects an increase of 4 percentage points year-over-year. My final answer is 53%."
What was the revenue growth for Ooredoo in Q3 2024?,+1% YoY,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest EBITDA growth in Q3 2024?,Algeria (+22%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in Q3 2024?,Iraq (+15%),"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's total customer base in Q3 2024?,50.7 million (excluding Myanmar),"Apologies, but I do not have enough information. Please ask another query."
How much did Ooredoo raise through bond issuance in Q3 2024?,USD 500 million,"Ooredoo completed a USD 500 million, 10-year international bond issuance on October 10, 2024. However, the query specifically asks about Q3 2024, and the bond issuance was completed after that period. Thus, there is no information available regarding bond issuance in Q3 2024.

Apologies, but I do not have enough information. Please ask another query."
Which major financial transaction did Ooredoo complete in Q3 2024?,USD 500 million bond issuance,"On October 10, 2024, Ooredoo completed a USD 500 million, 10-year international bond issuance. This bond carries a coupon rate of 4.625% and matures on October 10, 2034. It was oversubscribed by 3.6 times by a high-quality investor base and priced with a spread of 88bps over 10-year U.S. Treasuries, marking the tightest spread ever achieved in Ooredoo’s history. My final answer is USD 500 million international bond issuance."
What was Ooredoo's net debt/EBITDA ratio in Q3 2024?,0.6x,"The information provided indicates that Ooredoo's net debt/EBITDA ratio in Q3 2024 is 0.6x. 

My final answer is 0.6x."
What is Ooredoo’s expected Capex investment for FY24?,QAR 3.5 billion,"Ooredoo’s expected Capex investment for FY24 is approximately QAR 3.5 billion. 

My final answer is QAR 3.5 billion."
Which countries had completed data center carve-outs by Q3 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by Q3 2024 are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo secure in financing in Q3 2024?,QAR 2 billion,"Ooredoo secured a USD 500 million financing through a 10-year international bond issuance on October 10, 2024. My final answer is 500 million USD."
What is Ooredoo’s dividend payout ratio for 2023?,59.1%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in Q3 2024?,Kuwait (3%),"Apologies, but I do not have enough information. Please ask another query."
Which region’s financial performance was impacted by war in Q3 2024?,Palestine,"The financial performance of Palestine was impacted by the ongoing war in Q3 2024. 

My final answer is Palestine."
What was the revenue growth of Algeria in Q3 2024?,+16%,The revenue growth of Algeria in Q3 2024 was +15% year-over-year in local currency (LC). My final answer is +15%.
How much did Ooredoo invest in digital transformation in Q3 2024?,QAR 800 million,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest 5G population coverage in Q3 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest data volume growth in Q3 2024?,Iraq (+51.88%),"Apologies, but I do not have enough information. Please ask another query."
