Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion,Ooredoo's total revenue for H1 2024 is QAR 11.8 billion. My final answer is 11.8 billion QAR.
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion,"Ooredoo's EBITDA for H1 2024 was QAR 5.1 billion, up by 6% (normalized up by 8%). My final answer is 5.1 billion."
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion,"The net profit of Ooredoo in H1 2024 was reported at QAR 1.9 billion, normalized for foreign exchange impact and other one-offs. My final answer is 1.9 billion QAR."
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp,Ooredoo's EBITDA margin increased by 2pp YoY to a solid 47% in H1 2024. My final answer is 2pp.
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion,"The retrieved information does not specify Ooredoo's free cash flow for H1 2024 explicitly. Instead, it provides free cash flow figures for 9M 2024 and H1 2023. 

Since there is no mention of free cash flow for H1 2024 in the data, I must conclude that I cannot provide that figure.

My final answer is Apologies, but I do not have enough information. Please ask another query."
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia","The countries with the highest revenue growth in H1 2024 were Iraq, Algeria, Kuwait, Maldives, and Tunisia, with specific growth rates reported as follows: Iraq at 30%, Kuwait at 21%, Algeria at 13%, Tunisia at 11%, and Maldives at 10%. 

My final answer is Iraq, Algeria, Kuwait, Maldives, and Tunisia."
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA,"Ooredoo secured a pioneering deal to deploy NVIDIA’s advanced AI technology across its data centres in H1 2024. This collaboration positions Ooredoo as an NVIDIA Cloud Partner, aiming to enhance its digital infrastructure and provide AI capabilities across key MENA markets, including Qatar, Algeria, Tunisia, Oman, Kuwait, and the Maldives. My final answer is NVIDIA partnership."
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year,The overall economic impact of GenAI in the GCC could reach $23.5 billion per year by 2030. My final answer is $23.5 billion.
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion,"Ooredoo has secured a significant portion of investments aimed at expanding capacity and upgrading infrastructure to support growing demand for AI and cloud services. The expected investment is approximately USD 1 billion over the medium to long term, particularly aimed at enhancing capacity to exceed 120MW.

My final answer is USD 1 billion."
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%,"The revenue contribution of Qatar to Ooredoo in H1 2024 was QAR 5,774 million. My final answer is 5,774 million QAR."
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion,The total Capex investment by Ooredoo in H1 2024 was QAR 1.0 billion. My final answer is QAR 1.0 billion.
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%),"Ooredoo's net profit for H1 2024 reported a change of +4% YoY, with the normalized net profit increasing by +14% to QAR 1.9 billion. 

My final answer is +4%."
Which region's revenue was impacted due to war in H1 2024?,Palestine,The revenue of Palestine was impacted due to the war in H1 2024. My final answer is Palestine.
What percentage of Ooredoo's customers were in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%),"Based on the retrieved information, the country with the lowest mobile churn rate in H1 2024 is Myanmar, with a churn rate of 1%. 

My final answer is Myanmar."
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by H1 2024 are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion,Ooredoo raised USD 500 million through a bond issuance in H1 2024. My final answer is USD 500 million.
Which company is Ooredoo collaborating with for AI technology?,NVIDIA,Ooredoo is collaborating with NVIDIA to deploy advanced AI technology across its data centers. My final answer is NVIDIA.
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's dividend yield in 2023?,5.24%,"Ooredoo's dividend yield for 2023 was 4.77%, based on the dividend paid of QAR 0.43. The proposed cash dividend was QAR 0.55, which corresponds to a higher dividend yield of 5.24%. 

My final answer is 4.77%."
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion,Ooredoo's expected total Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million,"In H1 2024, Ooredoo had 49.7 million customers excluding Myanmar. My final answer is 49.7 million."
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's customer churn rate in Qatar?,6%,"Apologies, but I do not have enough information. Please ask another query."
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%,"Kuwait's EBITDA decreased by 15% YoY in LC, impacted by one-off bad debt provisions recorded in 2024. Normalizing for the one-off provisions, EBITDA decreased by 2% YoY.

My final answer is 15%."
What was the EBITDA margin for Tunisia in H1 2024?,41%,"The EBITDA margin for Tunisia in H1 2024 is 41%, which is an improvement of 6 percentage points year-over-year. My final answer is 41%."
Which country had the highest data volume growth in H1 2024?,Iraq (+60.09%),"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for Kuwait in H1 2024?,QAR 406 million,"Apologies, but I do not have enough information. Please ask another query."
How did Myanmar's exit impact Ooredoo's H1 2024 financials?,One-time gain of QAR 118 million,"The disposal of Ooredoo Myanmar operation was completed on 31 May 2024, and the financial results for H1 2024 included results for Ooredoo Myanmar until that date. The impact of Myanmar's exit on Ooredoo's financials for H1 2024 was reflected in the net profit growth, which increased by 14% to QAR 1.9 billion, largely due to the gain on disposal of Myanmar (QAR 118 million) included in the results. However, it is critical to note that excluding this gain, the operational performance remained strong with solid revenue and EBITDA growth.

My final answer is: The disposal of Ooredoo Myanmar contributed positively to Ooredoo's H1 2024 net profit, but operational results still reflect a solid performance, with a normalized net profit increase of 14%."
Which Ooredoo market had the highest EBITDA margin?,Maldives (54%),"The Ooredoo market with the highest EBITDA margin is Algeria, with an EBITDA margin of 53%. My final answer is 53%."
How much did Ooredoo invest in network expansion in Iraq?,QAR 1.2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries showed the highest EBITDA growth in H1 2024?,Iraq and Algeria,"The countries that showed the highest EBITDA growth in H1 2024 include:

1. Iraq: EBITDA up by 22% YoY in LC.
2. Algeria: EBITDA up by 24% YoY in LC.
3. Tunisia: EBITDA up by 21% YoY.
4. Kuwait: EBITDA increased by 3% YoY when normalizing for a one-off bad debt provision.

My final answer is Iraq, Algeria, Tunisia, and Kuwait."
What percentage of Ooredoo’s revenue came from mobile services in Qatar?,30%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in H1 2024?,Iraq (+18%),"The country that had the highest revenue growth in H1 2024 was Algeria, which reported a revenue increase of 15% YoY. My final answer is Algeria."
What was the free cash flow of Ooredoo in Q2 2024?,QAR 1.9 billion,"The free cash flow of Ooredoo in Q2 2024 was QAR 1.9 billion. 

My final answer is 1.9 billion QAR."
What was Ooredoo’s total revenue for 9M 2024?,QAR 17.7 billion,"Ooredoo's total revenue for 9M 2024 was QAR 17.7 billion, which represents a 2% increase year-over-year. My final answer is QAR 17.7 billion."
What was Ooredoo's net profit in 9M 2024?,QAR 2.9 billion,"Ooredoo's net profit in 9M 2024 was QAR 2.9 billion, which reflects a growth of 10% YoY. My final answer is 2.9 billion QAR."
What was Ooredoo's free cash flow in 9M 2024?,QAR 5.8 billion,Ooredoo's free cash flow for 9M 2024 was QAR 5.8 billion. My final answer is QAR 5.8 billion.
What was Ooredoo's EBITDA for 9M 2024?,QAR 7.7 billion,"Ooredoo's EBITDA for 9M 2024 was QAR 7.7 billion, which represents a 4% increase. My final answer is QAR 7.7 billion."
What was the EBITDA margin for 9M 2024?,44%,"The EBITDA margin for 9M 2024 was 41%, up 3pp YoY. My final answer is 41%."
What was the revenue growth for Ooredoo in Q3 2024?,+1% YoY,The revenue growth for Ooredoo in Q3 2024 was +1% YoY. My final answer is 1%.
Which country had the highest EBITDA growth in Q3 2024?,Algeria (+22%),"Based on the retrieved information, the country with the highest EBITDA growth in Q3 2024 is Algeria, which recorded an EBITDA increase of 24% YoY. My final answer is Algeria."
Which country had the highest revenue growth in Q3 2024?,Iraq (+15%),"Based on the retrieved information, the country with the highest revenue growth in Q3 2024 was Iraq, with a growth of 16%. 

My final answer is Iraq."
What was Ooredoo's total customer base in Q3 2024?,50.7 million (excluding Myanmar),"The retrieved information indicates that Ooredoo's total customer base in Q3 2024 was 50.7 million. 

My final answer is 50.7 million."
How much did Ooredoo raise through bond issuance in Q3 2024?,USD 500 million,Ooredoo raised USD 500 million through bond issuance in Q3 2024. My final answer is USD 500 million.
Which major financial transaction did Ooredoo complete in Q3 2024?,USD 500 million bond issuance,"Ooredoo completed the disposal of the Ooredoo Myanmar operation on May 31, 2024, which significantly impacted the financial results for Q3 2024. My final answer is disposal of Ooredoo Myanmar operation on May 31, 2024."
What was Ooredoo's net debt/EBITDA ratio in Q3 2024?,0.6x,"The net debt/EBITDA ratio for Ooredoo in Q3 2024 is -0.3x.

My final answer is -0.3x."
What is Ooredoo’s expected Capex investment for FY24?,QAR 3.5 billion,Ooredoo’s expected Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which countries had completed data center carve-outs by Q3 2024?,"Qatar, Tunisia, Kuwait","As of Q3 2024, the countries that had completed data center carve-outs include Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo secure in financing in Q3 2024?,QAR 2 billion,Ooredoo secured QAR 2 billion in financing through a facility. My final answer is QAR 2 billion.
What is Ooredoo’s dividend payout ratio for 2023?,59.1%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in Q3 2024?,Kuwait (3%),"Apologies, but I do not have enough information. Please ask another query."
Which region’s financial performance was impacted by war in Q3 2024?,Palestine,The financial performance of **Palestine** was impacted by the war in Q3 2024. My final answer is Palestine.
What was the revenue growth of Algeria in Q3 2024?,+16%,"The revenue growth of Algeria in Q3 2024 was +15% year-over-year in local currency (LC). 

My final answer is +15%."
How much did Ooredoo invest in digital transformation in Q3 2024?,QAR 800 million,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest 5G population coverage in Q3 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest data volume growth in Q3 2024?,Iraq (+51.88%),"Apologies, but I do not have enough information. Please ask another query."
What percentage of Ooredoo's network traffic in Tunisia was on 4G?,93.22%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the most significant increase in customer base in Q3 2024?,Iraq (+9%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in Q3 2024 excluding Myanmar?,50.7 million,"The customer base of Ooredoo in Q3 2024, excluding Myanmar, is 49.7 million. My final answer is 49.7 million."
What percentage of Ooredoo's customer base was in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest Capex intensity in Q3 2024?,Algeria (21%),"Apologies, but I do not have enough information. Please ask another query."
What was the EBITDA margin for Kuwait in Q3 2024?,26%,"The EBITDA margin for Kuwait in Q3 2024 was 46%. 

My final answer is 46%."
Which country had the highest digital recharge percentage in Q3 2024?,Qatar (75%),"Apologies, but I do not have enough information. Please ask another query."
What was the total data volume across Ooredoo’s network in Q3 2024?,5.06 billion GB,"Apologies, but I do not have enough information. Please ask another query."
