Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion,"Ooredoo's EBITDA for H1 2024 was QAR 5.1 billion, which represents a 6% increase (normalized up by 8%) from the previous year. My final answer is QAR 5.1 billion."
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion,"The net profit of Ooredoo in H1 2024 was QAR 1,871 million (reported). My final answer is 1,871 million QAR."
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp,Ooredoo's EBITDA margin increased by 5 percentage points (pp) in H1 2024. My final answer is 5pp.
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia","The countries that had the highest revenue growth in H1 2024 are Iraq, Algeria, Kuwait, Maldives, and Tunisia. 

My final answer is Iraq, Algeria, Kuwait, Maldives, and Tunisia."
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA,Ooredoo secured a pioneering partnership with NVIDIA to deploy advanced AI technology across its data centers in the MENA region. This collaboration is aimed at becoming a leading digital infrastructure provider in the area and includes development of an AI-ready platform powered by NVIDIA's full stack. My final answer is NVIDIA partnership.
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year,The overall economic impact of GenAI in the GCC is expected to reach $23.5 billion per year by 2030. My final answer is $23.5 billion.
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion,"Ooredoo aims to invest a significant portion of its resources to expand capacity and upgrade infrastructure to support the growing demand for AI and cloud services in the MENA region. However, the retrieved information does not specify a precise expected investment figure specifically for AI and cloud services.

My final answer is Apologies, but I do not have enough information. Please ask another query."
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%,The revenue contribution of Qatar to Ooredoo in H1 2024 was 30%. My final answer is 30%.
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion,The total Capex investment by Ooredoo in H1 2024 was QAR 873 million. My final answer is 873 million QAR.
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%),"Ooredoo's net profit in H1 2024 reported an increase of +4% to QAR 1.871 billion compared to H1 2023. When normalized, net profit showed a significant increase of +14%. 

My final answer is 4% increase YoY reported, and 14% increase YoY normalized."
Which region's revenue was impacted due to war in H1 2024?,Palestine,"The region whose revenue was impacted due to war in H1 2024 is Palestine. 

My final answer is Palestine."
What percentage of Ooredoo's customers were in Iraq?,37%,"The retrieved information indicates that Iraq accounted for 7% of Ooredoo's customers. 

My final answer is 7%."
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%),"Apologies, but I do not have enough information. Please ask another query."
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by H1 2024 are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which company is Ooredoo collaborating with for AI technology?,NVIDIA,Ooredoo is collaborating with NVIDIA for AI technology. They have signed a pioneering deal to deploy NVIDIA’s advanced AI technology across their data centres and Ooredoo is becoming an NVIDIA Cloud Partner to bring the latest AI technology to the MENA region. My final answer is NVIDIA.
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's dividend yield in 2023?,5.24%,"Ooredoo's dividend yield in 2023 was 4.77%, based on a dividend paid of QAR 0.43 per share, with an ex-dividend date of 8 March 2023. My final answer is 4.77%."
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion,Ooredoo's expected total Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million,"The information provided indicates that excluding Myanmar, Ooredoo's customer base increased by 1.9 million to reach 49.7 million in H1 2024. 

My final answer is 49.7 million."
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's customer churn rate in Qatar?,6%,Ooredoo's customer churn rate in Qatar was 6%. My final answer is 6%.
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%,Kuwait's EBITDA decreased by 15% YoY in local currency due to one-off bad debt provisions recorded in 2024. My final answer is 15%.
What was the EBITDA margin for Tunisia in H1 2024?,41%,The EBITDA margin for Tunisia in H1 2024 was 41%. My final answer is 41%.
Which country had the highest data volume growth in H1 2024?,Iraq (+60.09%),"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for Kuwait in H1 2024?,QAR 406 million,"Apologies, but I do not have enough information. Please ask another query."
How did Myanmar's exit impact Ooredoo's H1 2024 financials?,One-time gain of QAR 118 million,"The exit of Myanmar impacted Ooredoo's H1 2024 financials through the inclusion of a major one-off gain from the Myanmar disposal, which was completed on 31 May 2024. Ooredoo's H1 2024 net profit attributable to its shareholders reached QAR 1.87 billion, showing a 4% increase compared to H1 2023. In normalized terms (excluding FX impacts and impairments), the net profit increased by 14% to QAR 1.86 billion. This indicates that the operational impacts of the Myanmar exit were accounted for until May 2024, contributing positively to the overall results. 

My final answer is Myanmar's exit contributed a one-off disposal gain and affected H1 2024's financials positively, leading to a reported net profit of QAR 1.87 billion and a normalized net profit increase of 14%."
Which Ooredoo market had the highest EBITDA margin?,Maldives (54%),The Ooredoo market with the highest EBITDA margin is one that maintained a resilient EBITDA margin of 46%. My final answer is 46%.
How much did Ooredoo invest in network expansion in Iraq?,QAR 1.2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries showed the highest EBITDA growth in H1 2024?,Iraq and Algeria,"The countries that showed the highest EBITDA growth in H1 2024 are:

1. Qatar - 22%
2. Algeria - 4%
3. Oman - 5%
4. Kuwait - 3%
5. Tunisia - 4%

My final answer is Qatar, Algeria, Oman, Kuwait, and Tunisia."
What percentage of Ooredoo’s revenue came from mobile services in Qatar?,30%,"Based on the retrieved information, the percentage of Ooredoo’s revenue that came from mobile services in Qatar is 30%. 

My final answer is 30%."
Which country had the highest revenue growth in H1 2024?,Iraq (+18%),"Apologies, but I do not have enough information. Please ask another query."
What was the free cash flow of Ooredoo in Q2 2024?,QAR 1.9 billion,The free cash flow of Ooredoo in Q2 2024 was QAR 1.9 billion. My final answer is 1.9 billion.
What was Ooredoo’s total revenue for 9M 2024?,QAR 17.7 billion,"The retrieved information does not explicitly state Ooredoo’s total revenue for 9M 2024. However, it mentions the revenue for that period increased to QAR 17.7 billion. 

My final answer is QAR 17.7 billion."
What was Ooredoo's net profit in 9M 2024?,QAR 2.9 billion,Ooredoo's net profit in 9M 2024 was QAR 2.9 billion. My final answer is 2.9 billion.
What was Ooredoo's free cash flow in 9M 2024?,QAR 5.8 billion,"The free cash flow for Ooredoo in 9M 2024 was QAR 5.8 billion. 

My final answer is 5.8 billion."
What was Ooredoo's EBITDA for 9M 2024?,QAR 7.7 billion,"Apologies, but I do not have enough information. Please ask another query."
What was the EBITDA margin for 9M 2024?,44%,"The EBITDA margin for 9M 2024 is reported to be 53%, which is an increase of 4 percentage points (pp) compared to the previous period. My final answer is 53%."
What was the revenue growth for Ooredoo in Q3 2024?,+1% YoY,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest EBITDA growth in Q3 2024?,Algeria (+22%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in Q3 2024?,Iraq (+15%),"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's total customer base in Q3 2024?,50.7 million (excluding Myanmar),"Apologies, but I do not have enough information. Please ask another query."
How much did Ooredoo raise through bond issuance in Q3 2024?,USD 500 million,Ooredoo raised USD 500 million through bond issuance in Q3 2024. My final answer is 500 million.
Which major financial transaction did Ooredoo complete in Q3 2024?,USD 500 million bond issuance,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's net debt/EBITDA ratio in Q3 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
What is Ooredoo’s expected Capex investment for FY24?,QAR 3.5 billion,The expected Capex investment for Ooredoo for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which countries had completed data center carve-outs by Q3 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by Q3 2024 are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo secure in financing in Q3 2024?,QAR 2 billion,Ooredoo secured a total financing of QAR 2 billion in Q3 2024. My final answer is QAR 2 billion.
What is Ooredoo’s dividend payout ratio for 2023?,59.1%,"Ooredoo’s dividend payout ratio for 2023 cannot be directly calculated with the provided information. However, the information states that the dividend paid in 2023 was QAR 0.43 per share and the board proposed a cash dividend of QAR 0.55 per share. Without the net profit for the year, I am unable to find the dividend payout ratio.

My final answer is Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in Q3 2024?,Kuwait (3%),"Apologies, but I do not have enough information. Please ask another query."
Which region’s financial performance was impacted by war in Q3 2024?,Palestine,The region whose financial performance was impacted by war in Q3 2024 is Palestine. My final answer is Palestine.
What was the revenue growth of Algeria in Q3 2024?,+16%,"Apologies, but I do not have enough information. Please ask another query."
How much did Ooredoo invest in digital transformation in Q3 2024?,QAR 800 million,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest 5G population coverage in Q3 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest data volume growth in Q3 2024?,Iraq (+51.88%),"Apologies, but I do not have enough information. Please ask another query."
What percentage of Ooredoo's network traffic in Tunisia was on 4G?,93.22%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the most significant increase in customer base in Q3 2024?,Iraq (+9%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in Q3 2024 excluding Myanmar?,50.7 million,"Apologies, but I do not have enough information. Please ask another query."
What percentage of Ooredoo's customer base was in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest Capex intensity in Q3 2024?,Algeria (21%),"Apologies, but I do not have enough information. Please ask another query."
What was the EBITDA margin for Kuwait in Q3 2024?,26%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest digital recharge percentage in Q3 2024?,Qatar (75%),"Apologies, but I do not have enough information. Please ask another query."
What was the total data volume across Ooredoo’s network in Q3 2024?,5.06 billion GB,"Apologies, but I do not have enough information. Please ask another query."
