Question,Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia"
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%)
Which region's revenue was impacted due to war in H1 2024?,Palestine
What percentage of Ooredoo's customers were in Iraq?,37%
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%)
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait"
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion
Which company is Ooredoo collaborating with for AI technology?,NVIDIA
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million
What was Ooredoo's dividend yield in 2023?,5.24%
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%)
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%
What was Ooredoo's customer churn rate in Qatar?,6%
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%
What was the EBITDA margin for Tunisia in H1 2024?,41%
Which country had the highest data volume growth in H1 2024?,Iraq (+60.09%)
What was Ooredoo's EBITDA for Kuwait in H1 2024?,QAR 406 million
How did Myanmar's exit impact Ooredoo's H1 2024 financials?,One-time gain of QAR 118 million
Which Ooredoo market had the highest EBITDA margin?,Maldives (54%)
How much did Ooredoo invest in network expansion in Iraq?,QAR 1.2 billion
Which countries showed the highest EBITDA growth in H1 2024?,Iraq and Algeria
What percentage of Ooredoo’s revenue came from mobile services in Qatar?,30%
Which country had the highest revenue growth in H1 2024?,Iraq (+18%)
What was the free cash flow of Ooredoo in Q2 2024?,QAR 1.9 billion
What was Ooredoo’s total revenue for 9M 2024?,QAR 17.7 billion
What was Ooredoo's net profit in 9M 2024?,QAR 2.9 billion
What was Ooredoo's free cash flow in 9M 2024?,QAR 5.8 billion
What was Ooredoo's EBITDA for 9M 2024?,QAR 7.7 billion
What was the EBITDA margin for 9M 2024?,44%
What was the revenue growth for Ooredoo in Q3 2024?,+1% YoY
Which country had the highest EBITDA growth in Q3 2024?,Algeria (+22%)
Which country had the highest revenue growth in Q3 2024?,Iraq (+15%)
What was Ooredoo's total customer base in Q3 2024?,50.7 million (excluding Myanmar)
How much did Ooredoo raise through bond issuance in Q3 2024?,USD 500 million
Which major financial transaction did Ooredoo complete in Q3 2024?,USD 500 million bond issuance
What was Ooredoo's net debt/EBITDA ratio in Q3 2024?,0.6x
What is Ooredoo’s expected Capex investment for FY24?,QAR 3.5 billion
Which countries had completed data center carve-outs by Q3 2024?,"Qatar, Tunisia, Kuwait"
How much did Ooredoo secure in financing in Q3 2024?,QAR 2 billion
What is Ooredoo’s dividend payout ratio for 2023?,59.1%
Which country had the lowest mobile churn rate in Q3 2024?,Kuwait (3%)
Which region’s financial performance was impacted by war in Q3 2024?,Palestine
What was the revenue growth of Algeria in Q3 2024?,+16%
How much did Ooredoo invest in digital transformation in Q3 2024?,QAR 800 million
Which country had the highest 5G population coverage in Q3 2024?,Qatar (98.95%)
Which country had the highest data volume growth in Q3 2024?,Iraq (+51.88%)
What percentage of Ooredoo's network traffic in Tunisia was on 4G?,93.22%
Which country had the most significant increase in customer base in Q3 2024?,Iraq (+9%)
How many customers did Ooredoo have in Q3 2024 excluding Myanmar?,50.7 million
What percentage of Ooredoo's customer base was in Iraq?,37%
Which country had the highest Capex intensity in Q3 2024?,Algeria (21%)
What was the EBITDA margin for Kuwait in Q3 2024?,26%
Which country had the highest digital recharge percentage in Q3 2024?,Qatar (75%)
What was the total data volume across Ooredoo’s network in Q3 2024?,5.06 billion GB
