Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion,Ooredoo's total revenue for H1 2024 is QAR 11.8 billion. My final answer is QAR 11.8 billion.
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion,"Ooredoo's EBITDA for H1 2024 was QAR 2,568 million, reflecting a growth of 6% (normalized up by 8%). My final answer is 2,568 million."
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion,"The net profit of Ooredoo in H1 2024 was QAR 1.9 billion, reflecting a 4% increase year-over-year. My final answer is QAR 1.9 billion."
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp,Ooredoo's EBITDA margin increased by 1 percentage point (1pp) to 43% in H1 2024. My final answer is 1pp.
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia","The countries that had the highest revenue growth in H1 2024 were Qatar with 22%, Iraq with 17%, and Algeria with 16%. My final answer is Qatar, Iraq, Algeria."
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA,"Ooredoo secured a pioneering deal to deploy NVIDIA’s advanced AI technology across its data centres, becoming the first NVIDIA Cloud Partner in the MENA region. My final answer is Ooredoo's major AI partnership in H1 2024 was with NVIDIA to deploy its advanced AI technology across data centres."
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year,"The overall economic impact of GenAI in the GCC is expected to reach **$23.5 billion per year by 2030**. 

My final answer is $23.5 billion."
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion,"Ooredoo aims to expand capacity to over 120MW with an investment of approximately USD 1 billion over the medium to long term for its data center business. 

My final answer is USD 1 billion."
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%,"Apologies, but I do not have enough information. Please ask another query."
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion,The total Capex investment by Ooredoo in H1 2024 was QAR 1.0 billion. My final answer is 1.0 billion QAR.
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%),"Ooredoo's net profit in H1 2024 increased by 4% YoY, reaching QAR 1.9 billion. My final answer is 4% increase YoY, QAR 1.9 billion."
Which region's revenue was impacted due to war in H1 2024?,Palestine,"The region's revenue that was impacted due to war in H1 2024 is Palestine, with an EBITDA margin decrease of 2%. 

My final answer is Palestine."
What percentage of Ooredoo's customers were in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%),"The country with the lowest mobile churn rate in H1 2024 is Myanmar, with a churn rate of 1%. 

My final answer is Myanmar."
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by H1 2024 are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion,Ooredoo raised QAR 2 billion through a significant financing deal to accelerate the expansion of its data centre business in H1 2024. My final answer is QAR 2 billion.
Which company is Ooredoo collaborating with for AI technology?,NVIDIA,Ooredoo is collaborating with NVIDIA for AI technology. My final answer is NVIDIA.
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million,Ooredoo's bond issuance in H1 2024 was USD 500 million. My final answer is USD 500 million.
What was Ooredoo's dividend yield in 2023?,5.24%,Ooredoo's dividend yield for 2023 was 4.77%. My final answer is 4.77%.
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion,Ooredoo's expected total Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million,"Ooredoo had 49.7 million customers in H1 2024, excluding Myanmar. My final answer is 49.7 million."
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%,The percentage of Ooredoo's network traffic that was on 4G in Kuwait is 50.03%. My final answer is 50.03%.
What was Ooredoo's customer churn rate in Qatar?,6%,Ooredoo's customer churn rate in Qatar was 6%. My final answer is 6%.
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%,"Kuwait's EBITDA declined by 10% YoY in local currency (LC) due to a one-off bad debt provision raised in Q1 2024. Normalizing for this provision, EBITDA increased by 3% YoY. My final answer is 10%."
What was the EBITDA margin for Tunisia in H1 2024?,41%,The EBITDA margin for Tunisia in H1 2024 improved by 1pp to 43%. My final answer is 43%.
Which country had the highest data volume growth in H1 2024?,Iraq (+60.09%),"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for Kuwait in H1 2024?,QAR 406 million,"Apologies, but I do not have enough information. Please ask another query."
How did Myanmar's exit impact Ooredoo's H1 2024 financials?,One-time gain of QAR 118 million,"Myanmar's exit had a significant impact on Ooredoo's financials for H1 2024. The EBITDA for Myanmar included up to May 2024, and the disposal gain from the exit was a major one-off included in the H1 2024 financial results. The normalized net profit increased by 14% to QAR 1.9 billion, mainly benefiting from this disposal gain, alongside improved operational growth in other markets. Myanmar's contribution for 2023 included EBITDA up to June 2023, indicating that the exit's full effects were not felt until H1 2024.

My final answer is __."
Which Ooredoo market had the highest EBITDA margin?,Maldives (54%),"The Ooredoo market with the highest EBITDA margin for H1 2024 was the Maldives, with an EBITDA margin of 54%. 

My final answer is 54%."
How much did Ooredoo invest in network expansion in Iraq?,QAR 1.2 billion,"Ooredoo did not specify an exact investment figure for network expansion in Iraq; however, it was mentioned that the investment in Iraq was driven by network roll-out expansion. My final answer is Apologies, but I do not have enough information. Please ask another query."
Which countries showed the highest EBITDA growth in H1 2024?,Iraq and Algeria,"The countries that showed the highest EBITDA growth in H1 2024 are:

1. **Algeria** - EBITDA up by 24% YoY
2. **Iraq** - EBITDA up by 28% YoY
3. **Others** (Group performance) - EBITDA growth of 4% (normalized up by 5%)

My final answer is Algeria, Iraq, and Others."
What percentage of Ooredoo’s revenue came from mobile services in Qatar?,30%,"The percentage of Ooredoo’s revenue that came from mobile services in Qatar is 54%. 

My final answer is 54%."
Which country had the highest revenue growth in H1 2024?,Iraq (+18%),"Based on the retrieved information, the country with the highest revenue growth in H1 2024 was Algeria, which reported a revenue increase of 16% YoY. My final answer is Algeria."
What was the free cash flow of Ooredoo in Q2 2024?,QAR 1.9 billion,"The free cash flow of Ooredoo in Q2 2024 was QAR 1.9 billion, reflecting a 1% increase year-over-year. My final answer is 1.9 billion QAR."
What was Ooredoo’s total revenue for 9M 2024?,QAR 17.7 billion,"Ooredoo's total revenue for 9M 2024 was QAR 17.7 billion, representing a 2% increase year-over-year. My final answer is QAR 17.7 billion."
What was Ooredoo's net profit in 9M 2024?,QAR 2.9 billion,"Ooredoo's net profit in 9M 2024 was QAR 2.9 billion, representing a 10% increase year-over-year. My final answer is QAR 2.9 billion."
What was Ooredoo's free cash flow in 9M 2024?,QAR 5.8 billion,"Ooredoo's free cash flow in 9M 2024 was QAR 5.8 billion, which reflects a decrease of 1% YoY. My final answer is 5.8 billion."
What was Ooredoo's EBITDA for 9M 2024?,QAR 7.7 billion,"Ooredoo's EBITDA for 9M 2024 was QAR 7.7 billion, up by 4% (normalized up by 5%). My final answer is QAR 7.7 billion."
What was the EBITDA margin for 9M 2024?,44%,The EBITDA margin for 9M 2024 was 44%. My final answer is 44%.
What was the revenue growth for Ooredoo in Q3 2024?,+1% YoY,The revenue growth for Ooredoo in Q3 2024 was +1% year-on-year. My final answer is 1%.
Which country had the highest EBITDA growth in Q3 2024?,Algeria (+22%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in Q3 2024?,Iraq (+15%),"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's total customer base in Q3 2024?,50.7 million (excluding Myanmar),Ooredoo's total customer base in Q3 2024 was 50.7 million. My final answer is 50.7 million.
How much did Ooredoo raise through bond issuance in Q3 2024?,USD 500 million,Ooredoo raised USD 500 million through bond issuance in Q3 2024. My final answer is USD 500 million.
Which major financial transaction did Ooredoo complete in Q3 2024?,USD 500 million bond issuance,Ooredoo completed the disposal of Ooredoo Myanmar operation on 31 May 2024. My final answer is Ooredoo completed the disposal of Ooredoo Myanmar operation on 31 May 2024.
What was Ooredoo's net debt/EBITDA ratio in Q3 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
What is Ooredoo’s expected Capex investment for FY24?,QAR 3.5 billion,Ooredoo's expected Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which countries had completed data center carve-outs by Q3 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by Q3 2024 are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo secure in financing in Q3 2024?,QAR 2 billion,"Apologies, but I do not have enough information. Please ask another query."
What is Ooredoo’s dividend payout ratio for 2023?,59.1%,"Ooredoo's proposed cash dividend for 2023 is QAR 0.55 per share. Given that the dividend paid in 2023 was QAR 0.43, the dividend payout ratio aligns with their policy aiming for a range of 40% to 60% of normalized earnings. The specific payout ratio stated for 2023 is approximately 59.1%.

My final answer is 59.1%."
Which country had the lowest mobile churn rate in Q3 2024?,Kuwait (3%),"Apologies, but I do not have enough information. Please ask another query."
Which region’s financial performance was impacted by war in Q3 2024?,Palestine,"The financial performance impacted by war in Q3 2024 was in Palestine, with a report of a 7% decrease in EBITDA. My final answer is Palestine."
What was the revenue growth of Algeria in Q3 2024?,+16%,"The revenue growth of Algeria in Q3 2024 was reported at 15% year-over-year in local currency (LC) and 16% year-over-year on a reported basis. 

My final answer is 15%."
How much did Ooredoo invest in digital transformation in Q3 2024?,QAR 800 million,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest 5G population coverage in Q3 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest data volume growth in Q3 2024?,Iraq (+51.88%),"Apologies, but I do not have enough information. Please ask another query."
What percentage of Ooredoo's network traffic in Tunisia was on 4G?,93.22%,The percentage of Ooredoo's network traffic in Tunisia that was on 4G is 93.22%. My final answer is 93.22%.
Which country had the most significant increase in customer base in Q3 2024?,Iraq (+9%),"The country with the most significant increase in customer base in Q3 2024 was Palestine, where the customer base grew by 8% YoY to 1.5 million. My final answer is Palestine."
How many customers did Ooredoo have in Q3 2024 excluding Myanmar?,50.7 million,"Apologies, but I do not have enough information. Please ask another query."
What percentage of Ooredoo's customer base was in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest Capex intensity in Q3 2024?,Algeria (21%),"Apologies, but I do not have enough information. Please ask another query."
What was the EBITDA margin for Kuwait in Q3 2024?,26%,"The EBITDA margin for Kuwait in Q3 2024 was 26%, down by 6 percentage points due to a one-off bad debt provision. My final answer is 26%."
Which country had the highest digital recharge percentage in Q3 2024?,Qatar (75%),"Apologies, but I do not have enough information. Please ask another query."
What was the total data volume across Ooredoo’s network in Q3 2024?,5.06 billion GB,"The total data volume across Ooredoo’s network in Q3 2024 was 5,066,462,743 GB. My final answer is 5,066,462,743 GB."
